Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,300350,300350,261537,235476,177892
Interest Expense,46205,46205,29883,15300,8467
Income Before Tax,128612,128612,87534,79201,44091
Income Tax Expense,29873,29873,20259,36336,14889
Income from Continuing Operations,98739,98739,67275,42865,29202
Net Income,98739,98739,67275,42865,29202
Net Income available to common shareholders,98739,98739,67275,42865,29202
Basic EPS,-,-,1.40,1.01,0.79
Diluted EPS,-,-,1.38,0.99,0.78
Basic Average Shares,-,-,47969,42613,36872
Diluted Average Shares,-,-,48748,43350,37508
