Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,5015072,4676200,4414521,4550663
Liabilities,,,,
Total Liabilities,4412006,4144223,3942859,4120857
Stockholders' Equity,,,,
Common Stock,143,142,141,140
Retained Earnings,537167,492087,442077,402166
Accumulated other comprehensive income,32246,9627,1241,1558
Total stockholders' equity,603066,531977,471662,429806
Total liabilities and stockholders' equity,5015072,4676200,4414521,4550663
