Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,664605,527611,588607,415423
Depreciation & amortization,-,783078,514934,353469
Change in working capital,-,-533908,-870215,17708
Inventory,-,-13921,-149977,-123839
Other working capital,-,-689618,-3519434,-748461
Other non-cash items,-,7039,119201,11198
Net cash provided by operating activites,-,589502,353719,893737
Investments in property plant and equipment,-,-1279120,-3873153,-1642198
Purchases of investments,-,-1615,-2211553,-1911377
Sales/Maturities of investments,-,610219,2710001,1910001
Other investing activites,-,-150092,-337329,-360923
Net cash used for investing activites,-,-418106,-3627853,-2004497
Net change in cash,-,815327,-3550474,-1380894
Cash at beginning of period,-,451790,4002265,5383160
Cash at end of period,-,1267118,451790,4002265
Operating Cash Flow,-,589502,353719,893737
Capital Expenditure,-,-1279120,-3873153,-1642198
Free Cash Flow,-,-689618,-3519434,-748461
