Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1657432,1521411,1509056,1451992
Liabilities,,,,
Total Liabilities,1492153,1369453,1367354,1312778
Stockholders' Equity,,,,
Common Stock,3296,3358,3358,3331
Retained Earnings,154248,140520,127431,125162
Accumulated other comprehensive income,-2249,-4672,-1887,-984
Total stockholders' equity,164798,151958,141702,139214
Total liabilities and stockholders' equity,1657432,1521411,1509056,1451992
