Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-1147757,-484140,183244,-1008998
Depreciation & amortization,-,49529,39787,23115
Change in working capital,-,408537,-192419,76217
Inventory,-,-150883,1257,-1029
Other working capital,-,-6005,-14063,-133587
Other non-cash items,-,69,15735,44763
Net cash provided by operating activites,-,2679,87295,-122759
Investments in property plant and equipment,-,-8684,-101358,-10828
Acquisitions net,-,-,-977000,-
Purchases of investments,-,-210170,-35843,-1132924
Sales/Maturities of investments,-,400000,-,75000
Other investing activites,-,-388040,-1,-41559
Net cash used for investing activites,-,-1005346,-1038891,-987323
Net change in cash,-,-606827,479809,272499
Cash at beginning of period,-,820289,356255,77429
Cash at end of period,-,213461,820289,356255
Operating Cash Flow,-,2679,87295,-122759
Capital Expenditure,-,-8684,-101358,-10828
Free Cash Flow,-,-6005,-14063,-133587
