Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,3303000,3856000,2504000,3269000
Depreciation & amortization,-,10808000,12329000,13091000
Change in working capital,-,-3001000,-1789000,249000
Inventory,-,-637000,-566000,-372000
Other working capital,-,-1296000,5395000,6862000
Other non-cash items,-,298000,313000,-37000
Net cash provided by operating activites,-,10851000,14308000,15309000
Investments in property plant and equipment,-,-12147000,-8913000,-8447000
Acquisitions net,-,-24000,-,-14671000
Purchases of investments,-,-21400000,-15200000,-17619000
Sales/Maturities of investments,-,16390000,15103000,19561000
Other investing activites,-,-135000,-60000,-55000
Net cash used for investing activites,-,-16876000,-8947000,-20560000
Net change in cash,-,-9107000,1400000,-14777000
Cash at beginning of period,-,47520000,46120000,60898000
Cash at end of period,-,38413000,47520000,46120000
Operating Cash Flow,-,10851000,14308000,15309000
Capital Expenditure,-,-12147000,-8913000,-8447000
Free Cash Flow,-,-1296000,5395000,6862000
