Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,164507,164507,152971,128410,117275
Interest Expense,26347,26347,17491,9123,6882
Income Before Tax,57760,57760,49133,38438,32901
Income Tax Expense,11325,11325,9294,17963,10135
Income from Continuing Operations,46435,46435,39839,20475,22766
Net Income,46435,46435,39839,20475,22766
Net Income available to common shareholders,46435,46435,39839,20475,22766
Basic EPS,-,-,1.70,0.96,1.06
Diluted EPS,-,-,1.68,0.95,1.05
Basic Average Shares,-,-,23435,21328,21477
Diluted Average Shares,-,-,23714,21553,21682
