Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,141623,141623,116888,107871,92232
Interest Expense,25033,25033,17414,11180,7778
Income Before Tax,36853,36853,32701,23636,28298
Income Tax Expense,9737,9737,7721,-1656,11019
Income from Continuing Operations,27116,27116,24980,25292,17279
Net Income,27116,27116,24980,25292,17279
Net Income available to common shareholders,26777,26777,24548,24664,16761
Basic EPS,-,-,2.01,2.02,1.38
Diluted EPS,-,-,2.00,2.01,1.38
Basic Average Shares,-,-,12201,12216,12142
Diluted Average Shares,-,-,12273,12250,12151
