Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-6959,-6959,-7095,-11330,-10324
Net cash used for investing activites,-6959,-6959,-7095,-11330,-10324
Debt repayment,-19000,-19000,-17000,-,-
Dividends Paid,-24052,-24052,-16587,-16588,-8294
Other financing activites,-50,-50,-,-,-
Net cash used privided by (used for) financing activities,-24102,-24102,-33587,-16677,-8294
Net change in cash,3956,3956,-1591,-363,5239
Cash at beginning of period,12718,12718,14313,14676,9437
Cash at end of period,16708,16708,12718,14313,14676
Capital Expenditure,-6959,-6959,-7095,-11330,-10324
Free Cash Flow,28058,28058,31996,16314,13533
