Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,10492000,11963000,10799000,12391000
Depreciation & amortization,-,8318000,7317000,6459000
Change in working capital,-,-4018000,-1357000,5939000
Inventory,-,-2258000,-10002000,-2094000
Other working capital,-,-194000,3883000,14479000
Other non-cash items,-,171000,206000,533000
Net cash provided by operating activites,-,16313000,18333000,23044000
Investments in property plant and equipment,-,-16507000,-14450000,-8565000
Acquisitions net,-,-,-972000,-261000
Purchases of investments,-,-834000,-730000,-124000
Sales/Maturities of investments,-,143000,992000,2395000
Other investing activites,-,-245000,-2191000,193000
Net cash used for investing activites,-,-16732000,-16301000,-5607000
Net change in cash,-,-4775000,-3582000,12937000
Cash at beginning of period,-,101592000,105175000,92238000
Cash at end of period,-,96817000,101592000,105175000
Operating Cash Flow,-,16313000,18333000,23044000
Capital Expenditure,-,-16507000,-14450000,-8565000
Free Cash Flow,-,-194000,3883000,14479000
