Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1010579,938864,608197,541338
Depreciation & amortization,-,80182,68434,57332
Change in working capital,-,14312,187007,-599874
Other working capital,-,1081138,564071,-27664
Other non-cash items,-,18638,10238,11691
Net cash provided by operating activites,-,1165313,752990,67853
Investments in property plant and equipment,-,-84175,-188919,-95517
Purchases of investments,-,-,-,-45000
Sales/Maturities of investments,-,21000,-,-
Other investing activites,-,-59465,231215,-154817
Net cash used for investing activites,-,-122640,45504,-232236
Net change in cash,-,1803926,67865,732426
Cash at beginning of period,-,2895164,2827299,2094872
Cash at end of period,-,4699090,2895164,2827299
Operating Cash Flow,-,1165313,752990,67853
Capital Expenditure,-,-84175,-188919,-95517
Free Cash Flow,-,1081138,564071,-27664
