Attribute,Value
Previous Close,0.37
YTD Return,
Expense Ratio (net),
Category,
Last Cap Gain,
Morningstar Rating,
Morningstar Risk Rating,
Sustainability Rating,
Net Assets,
Beta (5Y Monthly),
Yield,
5y Average Return,
Holdings Turnover,
Last Dividend,
Average for Category,
Inception Date,
