Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-64.338,-778.53,-3575,-2640
Other investing activites,-,-,-,9.167
Net cash used for investing activites,1863,-778.53,-3575,-2631
Debt repayment,-,-,-,-30
Common stock issued,-,-,6783,4624
Common stock repurchased,-,-,-366.316,-385.905
Net cash used privided by (used for) financing activities,-,-,6417,4238
Net change in cash,481.436,-1465,747.094,497.634
Cash at beginning of period,440.536,1527,779.667,293.416
Cash at end of period,921.972,74.418,1527,779.667
Capital Expenditure,-64.338,-778.53,-3575,-2640
Free Cash Flow,-1446,-1465,-5670,-3749
