Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,163918,163918,159461,151190,157259
Interest Expense,9935,9935,7990,6595,6604
Income Before Tax,72121,72121,64668,56973,59587
Income Tax Expense,5256,5256,869,870,1041
Income from Continuing Operations,66865,66865,63799,56103,58546
Net Income,66865,66865,63799,56103,58546
Net Income available to common shareholders,66865,66865,63799,56103,58546
Basic EPS,-,-,1.83,2.13,2.22
Diluted EPS,-,-,1.83,2.13,2.22
Basic Average Shares,-,-,26347,26328,26347
Diluted Average Shares,-,-,26347,26328,26347
