Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,120525000,150807000,135406000,164174000
Depreciation & amortization,-,124104000,110860000,95777000
Change in working capital,-,-6114000,7884000,-5047000
Inventory,-,188000,-876000,-801000
Other working capital,-,296717000,281542000,253153000
Other non-cash items,-,49897000,24460000,35276000
Net cash provided by operating activites,-,296717000,281542000,253153000
Purchases of investments,-,-533916000,-411204000,-364234000
Sales/Maturities of investments,-,526689000,423386000,412515000
Other investing activites,-,-183005000,-178537000,-217457000
Net cash used for investing activites,-,-189713000,-166600000,-168077000
Net change in cash,-,69968000,58704000,31251000
Cash at beginning of period,-,182870000,124261000,92951000
Cash at end of period,-,252795000,182870000,124261000
Operating Cash Flow,-,296717000,281542000,253153000
Free Cash Flow,-,296717000,281542000,253153000
