Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-13.777,-104.31,-
Acquisitions net,-,-,-,0.078,-
Other investing activites,-,-,-,-49.532,-
Net cash used for investing activites,-,-,-13.777,-78.764,-
Debt repayment,-,-,-,-,-80
Common stock issued,1868,1631,394.148,2248,454.085
Net cash used privided by (used for) financing activities,1868,1631,394.148,2248,409.018
Net change in cash,631.913,1069,-1148,1731,76.29
Cash at beginning of period,1938,692.049,1840,108.576,32.286
Cash at end of period,2570,1758,692.049,1840,108.576
Capital Expenditure,-,-,-13.777,-104.31,-
Free Cash Flow,-1246,-562.606,-1542,-542.578,-332.728
