Breakdown,ttm,12/31/2019,12/31/2018,3/31/2017
Net Income,6074000,6074000,7720000,6159000
Depreciation & amortization,1151000,1151000,1071000,822000
Change in working capital,-3584000,-3584000,-12104000,-2931000
Other working capital,-280000,-280000,1744000,4751000
Other non-cash items,-1469000,-1469000,5547000,1220000
Net cash provided by operating activites,546000,546000,3235000,5421000
Investments in property plant and equipment,-826000,-826000,-1491000,-670000
Purchases of investments,-517000,-517000,-1500000,-784000
Sales/Maturities of investments,-,-,53000,-
Other investing activites,-577000,-577000,610000,-2808000
Net cash used for investing activites,-1954000,-1954000,-2220000,-4335000
Net change in cash,21944000,21944000,3814000,7453000
Cash at beginning of period,39334000,39334000,35520000,34633000
Cash at end of period,61278000,61278000,39334000,42087000
Operating Cash Flow,546000,546000,3235000,5421000
Capital Expenditure,-826000,-826000,-1491000,-670000
Free Cash Flow,-280000,-280000,1744000,4751000
