Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,58407,58407,66854,56607,53615
Interest Expense,13217,13217,9217,6089,3970
Income Before Tax,15897,15897,26048,16194,12200
Income Tax Expense,4225,4225,6706,7190,4698
Income from Continuing Operations,11672,11672,19342,9004,7502
Net Income,11672,11672,19342,9004,7502
Net Income available to common shareholders,11672,11672,19342,9004,7502
Basic EPS,-,-,1.11,0.49,0.40
Diluted EPS,-,-,1.11,0.49,0.39
Basic Average Shares,-,-,17425,18376,18755
Diluted Average Shares,-,-,17425,18376,19236
