Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,18331000,15373000,14018000,14894000
Depreciation & amortization,2611000,1950000,1126000,919000
Stock based compensation,245000,213000,215000,223000
Change in working capital,6366000,-31000,-4953000,2663000
Inventory,-1212000,-3163000,-8112000,-6303000
Other working capital,15132000,5897000,5724000,9827000
Other non-cash items,3313000,3282000,1988000,2469000
Net cash provided by operating activites,29263000,21762000,10603000,21547000
Investments in property plant and equipment,-14131000,-15865000,-4879000,-11720000
Acquisitions net,-,-,-2619000,-93000
Purchases of investments,-2413000,-545000,-168000,-363000
Sales/Maturities of investments,2224000,1124000,-,6337000
Other investing activites,2769000,-316000,-75000,-6094000
Net cash used for investing activites,-12475000,-15602000,-5645000,-11933000
Net change in cash,15708000,10507000,-1169000,15988000
Cash at beginning of period,39874000,39365000,41369000,28368000
Cash at end of period,55580000,45029000,39365000,41369000
Operating Cash Flow,29263000,21762000,10603000,21547000
Capital Expenditure,-14131000,-15865000,-4879000,-11720000
Free Cash Flow,15132000,5897000,5724000,9827000
