Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5362000,4682000,4274000,5067000
Depreciation & amortization,-,1492000,1413000,1306000
Change in working capital,-,-1544000,-21785000,48197000
Other working capital,-,-229000,-27779000,52228000
Other non-cash items,-,-28962000,-39319000,-29616000
Net cash provided by operating activites,-,828000,-26126000,54254000
Investments in property plant and equipment,-,-1057000,-1653000,-2026000
Purchases of investments,-,-384541000,-325945000,-247778000
Sales/Maturities of investments,-,411300000,352059000,255099000
Other investing activites,-,-2000,-,-1000
Net cash used for investing activites,-,25857000,24577000,5403000
Net change in cash,-,25727000,-2586000,58789000
Cash at beginning of period,-,160202000,162789000,104000000
Cash at end of period,-,185930000,160202000,162789000
Operating Cash Flow,-,828000,-26126000,54254000
Capital Expenditure,-,-1057000,-1653000,-2026000
Free Cash Flow,-,-229000,-27779000,52228000
