Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,376453,385960,277929,309817
Depreciation & amortization,-,134009,110219,132605
Change in working capital,-,-235425,-152141,-36580
Inventory,-,-157687,-32192,1532
Other working capital,-,298389,166632,303229
Other non-cash items,-,117009,62945,-63695
Net cash provided by operating activites,-,425399,337884,373341
Investments in property plant and equipment,-,-127010,-171252,-70112
Purchases of investments,-,-,-99998,-
Sales/Maturities of investments,-,100000,-,-
Other investing activites,-,7147,5200,-894
Net cash used for investing activites,-,-19863,-265926,-70218
Net change in cash,-,-243703,-5371,61014
Cash at beginning of period,-,856467,861838,800824
Cash at end of period,-,612763,856467,861838
Operating Cash Flow,-,425399,337884,373341
Capital Expenditure,-,-127010,-171252,-70112
Free Cash Flow,-,298389,166632,303229
