Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-8912,-10415
Purchases of investments,-255.658,-2000
Net cash used for investing activites,-9466,-12415
Debt repayment,-1007,-489.513
Common stock issued,12506,10310
Common stock repurchased,-912.005,-692.051
Other financing activites,-,0.375
Net cash used privided by (used for) financing activities,14358,12576
Net change in cash,-2300,-6686
Cash at beginning of period,4971,12048
Cash at end of period,2671,5362
Capital Expenditure,-8912,-10415
Free Cash Flow,-16103,-17262
