Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-4.282,-4.282,-68.0079,-57.6923
Other investing activites,-,-,-19.8356,-14.1026
Net cash used for investing activites,12.8461,12.8461,-87.8436,-71.7949
Debt repayment,-125.6066,-125.6066,-8.501,-
Common stock issued,1694,1694,-,4221
Other financing activites,229.803,229.803,-8.501,79.4872
Net cash used privided by (used for) financing activities,2616,2616,-8.501,5454
Net change in cash,-421.0677,-421.0677,-3993,4341
Cash at beginning of period,61.376,61.376,-188.4387,130.7692
Cash at end of period,486.7257,486.7257,840.1814,4544
Capital Expenditure,-4.282,-4.282,-68.0079,-57.6923
Free Cash Flow,-3055,-3055,-3964,-1099
