Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2042000,-1591000,2361000,3134195
Depreciation & amortization,-,1162000,1181000,1229154
Change in working capital,-,-479000,744000,-3689635
Inventory,-,756000,-899000,327059
Other working capital,-,-1427000,1995000,1026476
Other non-cash items,-,431000,-711000,513486
Net cash provided by operating activites,-,1154000,3415000,1523590
Investments in property plant and equipment,-,-2581000,-1420000,-497114
Acquisitions net,-,-800000,-,-
Purchases of investments,-,-6823000,-6598000,-7171426
Sales/Maturities of investments,-,7422000,6650000,6846086
Other investing activites,-,-219000,-162000,-197044
Net cash used for investing activites,-,-2988000,228000,-968198
Net change in cash,-,-3546000,1985000,-1067735
Cash at beginning of period,-,29183000,27197000,28265673
Cash at end of period,-,25636000,29183000,27197937
Operating Cash Flow,-,1154000,3415000,1523590
Capital Expenditure,-,-2581000,-1420000,-497114
Free Cash Flow,-,-1427000,1995000,1026476
