Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2026,-1634,-1819,-1471,-
Sales/Maturities of investments,-,-,1,1358,-
Other investing activites,-,25,-,-,-
Net cash used for investing activites,-2001,-1609,-1818,-113,-
Common stock issued,3806,2591,-,4000,-
Common stock repurchased,-280,-184,-,-580,-
Other financing activites,-,-,-,150,-
Net cash used privided by (used for) financing activities,3526,2407,-,3570,300
Net change in cash,869,-151,-2548,3019,-1
Cash at beginning of period,1388,523,3071,52,53
Cash at end of period,2257,372,523,3071,52
Capital Expenditure,-2026,-1634,-1819,-1471,-
Free Cash Flow,-2682,-2583,-2549,-1909,-301
