Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,494000,494000,1243000,1155000,675000
Depreciation & amortization,589000,589000,542000,503000,464000
Change in working capital,-373000,-373000,-114000,-53000,24000
Inventory,-,-,-,-,0
Other working capital,-386000,-386000,-142000,-438000,-1243000
Other non-cash items,140000,140000,52000,87000,96000
Net cash provided by operating activites,1000000,1000000,1243000,1216000,1176000
Investments in property plant and equipment,-1386000,-1386000,-1385000,-1654000,-2419000
Acquisitions net,-142000,-142000,-109000,-44000,-161000
Other investing activites,103000,103000,28000,22000,0
Net cash used for investing activites,-1422000,-1422000,-1460000,-1615000,-2517000
Net change in cash,-416000,-416000,-554000,-314000,1228000
Cash at beginning of period,1098000,1098000,1660000,1955000,768000
Cash at end of period,680000,680000,1098000,1660000,1955000
Operating Cash Flow,1000000,1000000,1243000,1216000,1176000
Capital Expenditure,-1386000,-1386000,-1385000,-1654000,-2419000
Free Cash Flow,-386000,-386000,-142000,-438000,-1243000
