Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,708486,708486,690098,715413,677386
Interest Expense,385146,385146,288399,201907,153336
Income Before Tax,286732,286732,270418,280589,299072
Income Tax Expense,91248,91248,67842,153845,106947
Income from Continuing Operations,195484,195484,202576,126744,192125
Net Income,195484,195484,202576,126744,192125
Net Income available to common shareholders,195484,195484,202576,126744,192125
Basic EPS,-,-,0.72,0.44,0.65
Diluted EPS,-,-,0.72,0.43,0.64
Basic Average Shares,-,-,281925,290184,297581
Diluted Average Shares,-,-,282792,291966,300955
