Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Total Revenue,137810035,119710101,108838012,91536182
Interest Expense,2443258,2273586,893059,586621
Total Other Income/Expenses Net,673306,87777,-65868,467337
Income Before Tax,6073887,5084802,6951068,6402172
Income Tax Expense,926743,1185816,1615033,1168980
Income from Continuing Operations,5147144,3898986,5336035,5233192
Net Income,4719078,3729891,5256296,5146052
Net Income available to common shareholders,4719078,3729891,5256296,5146052
Basic EPS,-,0.09,0.12,0.12
Diluted EPS,-,0.09,0.12,0.12
Basic Average Shares,-,42479808,42479808,42479808
Diluted Average Shares,-,42479808,42479808,42479808
