Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,52309,52309,52086,37583,34198
Interest Expense,11556,11556,9450,5106,3733
Income Before Tax,16731,16731,17692,8897,10401
Income Tax Expense,3696,3696,3910,5712,3647
Income from Continuing Operations,13035,13035,13782,3185,6754
Net Income,13035,13035,13782,3185,6754
Net Income available to common shareholders,13035,13035,13782,3185,6750
Basic EPS,-,-,0.87,0.27,0.58
Diluted EPS,-,-,0.87,0.27,0.58
Basic Average Shares,-,-,15813,11763,11611
Diluted Average Shares,-,-,15878,11827,11655
