Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-489182,20713,7884,121720
Depreciation & amortization,-,176949,145682,124295
Change in working capital,-,-175355,-168807,316014
Inventory,-,-45035,66244,213557
Other working capital,-,53361,-224275,529900
Other non-cash items,-,73430,-53710,13248
Net cash provided by operating activites,-,145357,-88296,598215
Investments in property plant and equipment,-,-91996,-135979,-68315
Acquisitions net,-,-,-12388,-47168
Purchases of investments,-,-377174,-45473,-908
Sales/Maturities of investments,-,-,-,351
Other investing activites,-,-3733,1581,-1118
Net cash used for investing activites,-,-479408,-205668,-54217
Net change in cash,-,-48673,-702332,813606
Cash at beginning of period,-,363922,1066254,252648
Cash at end of period,-,315249,363922,1066254
Operating Cash Flow,-,145357,-88296,598215
Capital Expenditure,-,-91996,-135979,-68315
Free Cash Flow,-,53361,-224275,529900
