Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Net Income,1234000,1116000,559000,791000,1358896
Depreciation & amortization,-,729000,632000,531000,390306
Change in working capital,-,-127000,-187000,-94000,-205005
Other working capital,-,-516000,-768000,-421000,-477045
Other non-cash items,-,-1827000,-1903000,-1430000,-2117382
Net cash provided by operating activites,-,2196000,2028000,1963000,2196346
Investments in property plant and equipment,-,-2712000,-2796000,-2384000,-2673391
Acquisitions net,-,-18000,-48000,-,-
Other investing activites,-,-122000,-119000,-296000,-260357
Net cash used for investing activites,-,-2842000,-2963000,-2659000,-2916942
Net change in cash,-,178000,55000,-227000,1306164
Cash at beginning of period,-,1301000,1246000,1474000,168246
Cash at end of period,-,1480000,1301000,1246000,1474411
Operating Cash Flow,-,2196000,2028000,1963000,2196346
Capital Expenditure,-,-2712000,-2796000,-2384000,-2673391
Free Cash Flow,-,-516000,-768000,-421000,-477045
