Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3650000,4009000,5336000,3083000
Depreciation & amortization,-,3070000,2714000,2122000
Change in working capital,-,-127000,-6310000,-4843000
Inventory,-,-3799000,-4130000,-2900000
Other working capital,-,2679000,759000,-1673000
Other non-cash items,-,570000,1188000,324000
Net cash provided by operating activites,-,5279000,2849000,140000
Investments in property plant and equipment,-,-2600000,-2090000,-1813000
Acquisitions net,-,-7982000,-2633000,-
Purchases of investments,-,-604000,-377000,-315000
Sales/Maturities of investments,-,340000,89000,318000
Other investing activites,-,192000,136000,287000
Net cash used for investing activites,-,-10770000,-5166000,-1524000
Net change in cash,-,3835000,1756000,-2989000
Cash at beginning of period,-,18569000,16813000,19773000
Cash at end of period,-,22404000,18569000,16813000
Operating Cash Flow,-,5279000,2849000,140000
Capital Expenditure,-,-2600000,-2090000,-1813000
Free Cash Flow,-,2679000,759000,-1673000
