Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3291000,3041000,2306000,3100000
Depreciation & amortization,-,293000,253000,236000
Change in working capital,-,-1281000,-2448000,542000
Inventory,-,-61000,-,-
Other working capital,-,3605000,-1491000,3453000
Other non-cash items,-,1431000,186000,747000
Net cash provided by operating activites,-,4501000,-309000,4723000
Investments in property plant and equipment,-,-896000,-1182000,-1270000
Acquisitions net,-,-58000,-,-
Purchases of investments,-,-304000,-29000,-38000
Other investing activites,-,153000,-117000,-19000
Net cash used for investing activites,-,-1105000,-1328000,-1327000
Net change in cash,-,2397000,-2244000,3081000
Cash at beginning of period,-,10996000,13240000,10159000
Cash at end of period,-,13393000,10996000,13240000
Operating Cash Flow,-,4501000,-309000,4723000
Capital Expenditure,-,-896000,-1182000,-1270000
Free Cash Flow,-,3605000,-1491000,3453000
