Breakdown,ttm,6/30/2019,6/30/2018
Common stock issued,-,187.875,6000
Common stock repurchased,-,-24.796,-429.472
Net cash used privided by (used for) financing activities,-,163.079,5571
Net change in cash,-472.739,-1503,3629
Cash at beginning of period,2177,3937,307.518
Cash at end of period,1705,2433,3937
Free Cash Flow,-471.629,-1666,-1941
