Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,766612,665009,641143
Liabilities,,,
Total Liabilities,691634,592531,572834
Stockholders' Equity,,,
Retained Earnings,75292,72795,68658
Accumulated other comprehensive income,-313.665,-317.119,-349.721
Total stockholders' equity,74978,72478,68308
Total liabilities and stockholders' equity,766612,665009,641143
