Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-1.54,-127.562,-11.925
Acquisitions net,-,-,-,-1421,-280.893
Net cash used for investing activites,-,3433,1.54,-899.772,-292.818
Debt repayment,-547.284,-3319,-1551,-4481,-7.5
Common stock issued,-,-,-116.829,800,1000
Other financing activites,-,-,0.001,-,-
Net cash used privided by (used for) financing activities,-547.284,-3319,391.241,1232,3493
Net change in cash,-569.427,-775.09,-435.758,135.793,-1889
Cash at beginning of period,1142,1784,2219,2083,2307
Cash at end of period,572.767,1008,1784,2219,418.622
Capital Expenditure,-,-,-1.54,-127.562,-11.925
Free Cash Flow,-39.143,-889.15,-828.539,-324.314,-5100
