Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,24205000,28018000,20390000,14485000
Depreciation & amortization,-,8560000,6754000,8740000
Change in working capital,-,-20994000,-3849000,-11050000
Other working capital,-,-1731000,14666000,2510000
Other non-cash items,-,1025000,1092000,175000
Net cash provided by operating activites,-,8964000,28831000,12545000
Investments in property plant and equipment,-,-10695000,-14165000,-10035000
Acquisitions net,-,-14000,-,-241000
Purchases of investments,-,-1627000,-488000,-247000
Sales/Maturities of investments,-,468000,491000,500000
Other investing activites,-,-364000,-278000,-131000
Net cash used for investing activites,-,-11550000,-13896000,-9940000
Net change in cash,-,-17967000,2441000,-9573000
Cash at beginning of period,-,28957000,20879000,28818000
Cash at end of period,-,27778000,28957000,20879000
Operating Cash Flow,-,8964000,28831000,12545000
Capital Expenditure,-,-10695000,-14165000,-10035000
Free Cash Flow,-,-1731000,14666000,2510000
