Breakdown,12/31/2018,12/31/2017
Total Assets,298820,200872
Liabilities,,
Total Liabilities,130772,35807
Stockholders' Equity,,
Total stockholders' equity,168047,165065
Total liabilities and stockholders' equity,298820,200872
