Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-61.457,-33.991,-24.758,-2.023
Acquisitions net,-,-1577,-1427,-
Net cash used for investing activites,-4634,-1611,-1452,-2.023
Common stock issued,-,2025,530,1700
Common stock repurchased,-154.642,-172.734,-8.422,-121.211
Net cash used privided by (used for) financing activities,2710,1852,1192,1579
Net change in cash,-160.195,926.484,-1047,652.716
Cash at beginning of period,1755,1490,2538,1884
Cash at end of period,1594,2411,1490,2538
Capital Expenditure,-61.457,-33.991,-24.758,-2.023
Free Cash Flow,1702,651.012,-811.71,-926.073
