Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2252,-1948,-1183,-1869,-332.042
Other investing activites,-,-,-2.397,9.235,-4.926
Net cash used for investing activites,-2252,-1948,-1185,-1860,-336.968
Debt repayment,-,-,-5.764,-23.122,-68.455
Common stock issued,6063,2418,2870,666.667,2500
Common stock repurchased,-68.749,-50.586,-168.173,-,-52.968
Net cash used privided by (used for) financing activities,5972,2367,2696,666.701,2436
Net change in cash,2897,-66.947,1061,-1560,1640
Cash at beginning of period,2906,1616,554.633,2117,488.351
Cash at end of period,5803,1549,1616,554.633,2117
Capital Expenditure,-2252,-1948,-1183,-1869,-332.042
Free Cash Flow,-3076,-2434,-1633,-2236,-791.46
