Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,38662,30727,16985,30975
Change in working capital,-25579,4732,33177,-14868
Other working capital,36380,72515,92368,-104637
Net cash provided by operating activites,36380,72515,92368,-104637
Purchases of investments,-41090,0,-378904,-297056
Sales/Maturities of investments,130161,188984,225758,241875
Net cash used for investing activites,89071,188984,-145897,-10288
Net change in cash,-35003,-44344,69490,35572
Cash at beginning of period,85715,150702,81212,45640
Cash at end of period,50712,106358,150702,81212
Operating Cash Flow,36380,72515,92368,-104637
Free Cash Flow,36380,72515,92368,-104637
