Breakdown,ttm,6/30/2019,6/30/2018
Total Revenue,19616,16057,4215
Selling General and Administrative,1348,1211,827
Total Operating Expenses,1623,1486,978
Interest Expense,2200,795,0
Income Before Tax,17993,14571,3237
Income Tax Expense,0,0,0
Income from Continuing Operations,17993,14571,3237
Net Income,17993,14571,3237
Net Income available to common shareholders,17993,14571,3237
Basic EPS,-,0.03,0.01
Diluted EPS,-,0.03,0.01
Basic Average Shares,-,495181,330855
Diluted Average Shares,-,495181,330855
