Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,2956000,2956000,4650000,4612000,4192000
Depreciation & amortization,1448000,1448000,1350000,1220000,1010000
Change in working capital,-973000,-973000,3676000,3159000,-8700000
Inventory,-7991000,-7991000,2982000,4299000,-10410000
Other working capital,1106000,1106000,7930000,7199000,-5094000
Other non-cash items,328000,328000,-1047000,-65000,94000
Net cash provided by operating activites,2708000,2708000,9277000,8159000,-3644000
Investments in property plant and equipment,-1602000,-1602000,-1347000,-960000,-1450000
Acquisitions net,-445000,-445000,-170000,-2492000,-298000
Sales/Maturities of investments,0,0,0,5000,300000
Other investing activites,70000,70000,93000,611000,56000
Net cash used for investing activites,-2489000,-2489000,-1405000,-2668000,-1473000
Net change in cash,-2380000,-2380000,320000,2438000,4875000
Cash at beginning of period,18824000,18824000,18227000,15764000,10769000
Cash at end of period,16513000,16513000,18824000,18227000,15764000
Operating Cash Flow,2708000,2708000,9277000,8159000,-3644000
Capital Expenditure,-1602000,-1602000,-1347000,-960000,-1450000
Free Cash Flow,1106000,1106000,7930000,7199000,-5094000
