Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1328123,1028552,622659,654340
Depreciation & amortization,-,433934,280698,277578
Change in working capital,-,-377198,106472,157787
Inventory,-,31720,-97,-23577
Other working capital,-,840154,1140608,1027369
Other non-cash items,-,110126,68497,-213983
Net cash provided by operating activites,-,1004538,1237842,1185865
Investments in property plant and equipment,-,-164384,-97234,-158496
Acquisitions net,-,-,-1983626,-
Purchases of investments,-,-160029,-96068,-94236
Sales/Maturities of investments,-,24000,59229,1042
Other investing activites,-,-39563,-62565,7626
Net cash used for investing activites,-,-336173,-2129304,-137883
Net change in cash,-,545327,553295,223862
Cash at beginning of period,-,2944523,2391228,2167365
Cash at end of period,-,3489851,2944523,2391228
Operating Cash Flow,-,1004538,1237842,1185865
Capital Expenditure,-,-164384,-97234,-158496
Free Cash Flow,-,840154,1140608,1027369
