Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-,-,-7.945,-15.941,-
Acquisitions net,-,-,-,-,-1.217
Purchases of investments,-,-,-,-,-1.217
Other investing activites,-,-,136.383,342.988,-
Net cash used for investing activites,-,-,128.438,331.549,-0.054
Debt repayment,-100,-100,-,-270,-57.5
Common stock issued,400.29,400.29,500,5428,488.902
Common stock repurchased,-69.529,-69.529,-19.62,-207.292,-34.143
Other financing activites,-56.882,-56.882,-11.609,-16.195,-22.311
Net cash used privided by (used for) financing activities,223.879,223.879,688.771,5205,532.448
Net change in cash,-665.947,-665.947,-929.479,1892,58.344
Cash at beginning of period,956.365,956.365,2006,118.215,70.972
Cash at end of period,282.454,282.454,956.365,2006,118.215
Capital Expenditure,-,-,-7.945,-15.941,-
Free Cash Flow,-889.826,-889.826,-1755,-3661,-474.05
