Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2398,-2225,-4272,-1617,-1629
Purchases of investments,-,10,-22.925,-20,-20.803
Other investing activites,-,-,-,-,80.289
Net cash used for investing activites,-2278,-2215,-4294,-1637,-1570
Debt repayment,-,-,-,-,-70
Common stock issued,4774,2885,5788,2433,3502
Common stock repurchased,-109.503,-108.358,-333.993,-140.787,-582.028
Net cash used privided by (used for) financing activities,4664,2777,5454,2292,3284
Net change in cash,1209,-449.74,-290.957,-186.93,951.235
Cash at beginning of period,107.317,514.359,805.316,992.246,41.011
Cash at end of period,1317,64.619,514.359,805.316,992.246
Capital Expenditure,-2398,-2225,-4272,-1617,-1629
Free Cash Flow,-3575,-3237,-5722,-2459,-2392
