Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2494000,2594000,2147000,323000
Depreciation & amortization,-,143000,138000,93000
Change in working capital,-,-3252000,1981000,-490000
Inventory,-,-1149000,660000,-398000
Other working capital,-,-2168000,4168000,-431000
Other non-cash items,-,1519000,128000,-500000
Net cash provided by operating activites,-,-2145000,4335000,-35000
Investments in property plant and equipment,-,-23000,-167000,-396000
Sales/Maturities of investments,-,1373000,-,654000
Other investing activites,-,8000,-10000,30000
Net cash used for investing activites,-,1391000,-172000,290000
Net change in cash,-,-3204000,3672000,-527000
Cash at beginning of period,-,5328000,1656000,2184000
Cash at end of period,-,2124000,5328000,1656000
Operating Cash Flow,-,-2145000,4335000,-35000
Capital Expenditure,-,-23000,-167000,-396000
Free Cash Flow,-,-2168000,4168000,-431000
