Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,-30177,430195,188837,83162
Selling General and Administrative,-1747,2841,5760,5871
Total Operating Expenses,13989,18933,16006,5871
Income Before Tax,-44166,411262,172831,77291
Income from Continuing Operations,-44166,411262,172831,77291
Net Income,-44166,411262,172831,77291
Net Income available to common shareholders,-44166,411262,172831,77291
Basic EPS,-,0.62,0.26,0.17
Diluted EPS,-,0.61,0.26,0.17
Basic Average Shares,-,660759,659356,462400
Diluted Average Shares,-,670806,663968,462400
