Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,11665000,12273000,13293000,13726000
Selling General and Administrative,9632000,9960000,9971000,11056000
Total Operating Expenses,10047000,10406000,10614000,11056000
Interest Expense,371000,471000,637000,998000
Income Before Tax,1344000,1467000,1698000,1941000
Income Tax Expense,351000,510000,589000,629000
Income from Continuing Operations,993000,957000,1109000,1312000
Net Income,993000,952000,1105000,1308000
Net Income available to common shareholders,993000,952000,1105000,1308000
Basic EPS,-,101.73,118.00,139.66
Diluted EPS,-,101.73,118.00,139.66
Basic Average Shares,-,9364,9364,9366
Diluted Average Shares,-,9364,9364,9366
