Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,2077000,2077000,1359000,794000,468000
Depreciation & amortization,439000,439000,361000,261000,146000
Change in working capital,-6836000,-6836000,-6661000,-2020000,-7427000
Inventory,-7272000,-7272000,-7556000,-,-
Other working capital,-3994000,-3994000,-4471000,-780000,-6950000
Other non-cash items,349000,349000,555000,163000,78000
Net cash provided by operating activites,-3986000,-3986000,-4398000,-777000,-6944000
Investments in property plant and equipment,-8000,-8000,-73000,-3000,-6000
Purchases of investments,-21000,-21000,-13000,0,-10000
Sales/Maturities of investments,-,-,-,0,60000
Other investing activites,-2000,-2000,-67000,1000,-3000
Net cash used for investing activites,-31000,-31000,-153000,-2000,41000
Net change in cash,1895000,1895000,1256000,3345000,52000
Cash at beginning of period,5871000,5871000,4615000,1269000,1216000
Cash at end of period,7766000,7766000,5871000,4615000,1269000
Operating Cash Flow,-3986000,-3986000,-4398000,-777000,-6944000
Capital Expenditure,-8000,-8000,-73000,-3000,-6000
Free Cash Flow,-3994000,-3994000,-4471000,-780000,-6950000
