Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-,-,-,-265.488
Net cash used for investing activites,-,-,-,-265.488
Common stock issued,-,633.565,320,1748
Common stock repurchased,-,-46.661,-6.561,-196.994
Other financing activites,-,-,-,480
Net cash used privided by (used for) financing activities,593.703,598.914,396.417,2031
Net change in cash,243.752,275.116,-577.305,436.183
Cash at beginning of period,108.696,280.053,857.36,403.12
Cash at end of period,352.448,555.172,280.053,857.36
Capital Expenditure,-,-,-,-265.488
Free Cash Flow,-349.951,-323.798,-973.722,-1595
