Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,609051,696725,87100,925637
Depreciation & amortization,-,1108090,1010610,960727
Change in working capital,-,-1420628,-107584,-1699423
Inventory,-,-217068,-293656,-11777
Other working capital,-,-1441575,-495818,-1480968
Other non-cash items,-,-278879,913284,-122368
Net cash provided by operating activites,-,606432,1402299,33064
Investments in property plant and equipment,-,-2048007,-1898117,-1514032
Purchases of investments,-,-1207,-900,-71597
Sales/Maturities of investments,-,53663,137280,198777
Other investing activites,-,2840,-10995,1635
Net cash used for investing activites,-,-2045430,-1365089,-1374556
Net change in cash,-,-1804544,-307476,522880
Cash at beginning of period,-,6594182,6901659,6378778
Cash at end of period,-,4789637,6594182,6901659
Operating Cash Flow,-,606432,1402299,33064
Capital Expenditure,-,-2048007,-1898117,-1514032
Free Cash Flow,-,-1441575,-495818,-1480968
