Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1467000,1971000,2369000,2116000
Depreciation & amortization,-,544000,596000,668000
Stock based compensation,-,51000,51000,40000
Change in working capital,-,278000,-177000,124000
Inventory,-,-33000,29000,13000
Other working capital,-,622000,2009000,1757000
Other non-cash items,-,-951000,-746000,-748000
Net cash provided by operating activites,-,1846000,2324000,2080000
Investments in property plant and equipment,-,-1224000,-315000,-323000
Acquisitions net,-,-125000,-,-
Purchases of investments,-,-,-198000,-148000
Sales/Maturities of investments,-,-,-,977000
Other investing activites,-,14000,43000,22000
Net cash used for investing activites,-,-894000,316000,577000
Net change in cash,-,-1042000,612000,1547000
Cash at beginning of period,-,8528000,7901000,6354000
Cash at end of period,-,7486000,8528000,7901000
Operating Cash Flow,-,1846000,2324000,2080000
Capital Expenditure,-,-1224000,-315000,-323000
Free Cash Flow,-,622000,2009000,1757000
