Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1789655,727271,954861,810783
Depreciation & amortization,-,432861,422255,419634
Change in working capital,-,-135610,-204528,-158309
Inventory,-,140625,-207222,-175925
Other working capital,-,703977,1216144,605787
Other non-cash items,-,-7998,9594,-79750
Net cash provided by operating activites,-,977679,1323196,761938
Investments in property plant and equipment,-,-273702,-107052,-156151
Purchases of investments,-,-9871,-216699,-47403
Sales/Maturities of investments,-,190606,215696,-
Other investing activites,-,-20437,-12533,3859
Net cash used for investing activites,-,-113404,-120588,-199695
Net change in cash,-,606920,1074924,374128
Cash at beginning of period,-,6321583,5246658,4872529
Cash at end of period,-,6928503,6321583,5246658
Operating Cash Flow,-,977679,1323196,761938
Capital Expenditure,-,-273702,-107052,-156151
Free Cash Flow,-,703977,1216144,605787
