Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,10026000,8649000,6191000,5146000
Depreciation & amortization,-,3057000,2826000,3185000
Stock based compensation,-,207000,164000,126000
Change in working capital,-,-5259000,-421000,-1741000
Inventory,-,-3165000,-694000,-270000
Other working capital,-,5049000,8056000,-1882000
Other non-cash items,-,124000,-143000,-117000
Net cash provided by operating activites,-,8731000,10531000,2192000
Investments in property plant and equipment,-,-3682000,-2475000,-4074000
Purchases of investments,-,-49000,-,-
Sales/Maturities of investments,-,-,-,9785000
Other investing activites,-,171000,77000,8000
Net cash used for investing activites,-,-3160000,-2392000,5976000
Net change in cash,-,-18006000,5031000,5568000
Cash at beginning of period,-,36641000,31609000,26040000
Cash at end of period,-,18635000,36641000,31609000
Operating Cash Flow,-,8731000,10531000,2192000
Capital Expenditure,-,-3682000,-2475000,-4074000
Free Cash Flow,-,5049000,8056000,-1882000
