Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,1890108000,1892299000,2254859000,2094444000
Interest Expense,1407104000,1313476000,889936000,601712000
Income Before Tax,85993000,85060000,839298000,480375000
Income Tax Expense,26070000,9335000,237604000,91244000
Income from Continuing Operations,59923000,75725000,601694000,389131000
Net Income,78505000,84471000,577608000,362440000
Net Income available to common shareholders,78505000,84471000,577608000,362440000
Basic EPS,-,3.80,22.72,23.86
Diluted EPS,-,3.80,22.72,23.78
Basic Average Shares,-,25362375,25366345,25285899
Diluted Average Shares,-,25362375,25366345,25380320
