Breakdown,ttm,2/28/2019,2/28/2018
Total Revenue,614204,614204,264047
Selling General and Administrative,128369,128369,78259
Total Operating Expenses,588978,588978,321524
Operating Income or Loss,25226,25226,-57477
Interest Expense,1500,1500,782
Income Before Tax,24075,24075,-58049
Income Tax Expense,-3413,-3413,530
Income from Continuing Operations,27488,27488,-58579
Net Income,27488,27488,-58579
Net Income available to common shareholders,27488,27488,-58579
Basic EPS,-,-,-7.16
Diluted EPS,-,-,-7.16
Basic Average Shares,-,-,8185
Diluted Average Shares,-,-,8185
