Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-16033,-16033
Other investing activites,-459.841,-459.841
Net cash used for investing activites,-16493,-16493
Common stock issued,106443,106443
Net cash used privided by (used for) financing activities,106443,106443
Net change in cash,68887,68887
Cash at beginning of period,7540,7540
Cash at end of period,75886,75886
Capital Expenditure,-16033,-16033
Free Cash Flow,-37096,-37096
