Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1924106,1697205,1255426,592613
Depreciation & amortization,-,3560202,3061715,2808595
Change in working capital,-,-707157,-39504,304507
Inventory,-,-118637,22705,-142759
Other working capital,-,-3587274,2252418,-958350
Other non-cash items,-,-175529,-543857,101270
Net cash provided by operating activites,-,4118091,4453436,2590563
Investments in property plant and equipment,-,-7705365,-2201018,-3548913
Purchases of investments,-,-,-,-300456
Other investing activites,-,51909,151993,-71002
Net cash used for investing activites,-,-6928485,-1514018,-3315362
Net change in cash,-,1299754,737914,374883
Cash at beginning of period,-,6581782,5843868,5468984
Cash at end of period,-,7881537,6581782,5843868
Operating Cash Flow,-,4118091,4453436,2590563
Capital Expenditure,-,-7705365,-2201018,-3548913
Free Cash Flow,-,-3587274,2252418,-958350
