Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,610729,585357,324064,266596
Depreciation & amortization,-,26212,39756,40428
Change in working capital,-,75542,-148897,77855
Other working capital,-,740081,182534,220233
Other non-cash items,-,2229,-47301,-81854
Net cash provided by operating activites,-,789066,190186,328605
Investments in property plant and equipment,-,-48985,-7652,-108372
Acquisitions net,-,-,-52500,-
Purchases of investments,-,-,-,-15579
Other investing activites,-,-1257,-,-41440
Net cash used for investing activites,-,-37242,-60152,-165391
Net change in cash,-,617691,22468,93657
Cash at beginning of period,-,1040587,1018119,924462
Cash at end of period,-,1658279,1040587,1018119
Operating Cash Flow,-,789066,190186,328605
Capital Expenditure,-,-48985,-7652,-108372
Free Cash Flow,-,740081,182534,220233
