Breakdown,ttm,6/30/2019,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-1050
Acquisitions net,-,-,-,-69.224
Net cash used for investing activites,-,-,-,-1103
Debt repayment,-,-,-,-1500
Common stock issued,-,355,-,11779
Common stock repurchased,-,-,-,-1057
Net cash used privided by (used for) financing activities,232.617,585,1476,10722
Net change in cash,-1.546,1.327,-2547,-4690
Cash at beginning of period,1,-,2547,7220
Cash at end of period,-0.546,1.327,-,2547
Capital Expenditure,-,-,-,-1050
Free Cash Flow,-234.163,-583.673,-4023,-15359
