Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Total Revenue,30851,30851,23787,17774
Interest Expense,11167,11167,5837,2869
Income Before Tax,2992,2992,2775,3658
Income Tax Expense,656,656,669,1844
Income from Continuing Operations,2336,2336,2106,1814
Net Income,2336,2336,2106,1814
Net Income available to common shareholders,2336,2336,2106,1814
Basic EPS,-,-,0.23,0.20
Diluted EPS,-,-,0.23,0.20
Basic Average Shares,-,-,8967,8967
Diluted Average Shares,-,-,8967,8967
