Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5732000,7421000,8126000,8003000
Depreciation & amortization,-,3900000,3922000,3735000
Change in working capital,-,-229000,-857000,-1185000
Inventory,-,-794000,-696000,135000
Other working capital,-,5174000,5809000,6001000
Other non-cash items,-,223000,51000,19000
Net cash provided by operating activites,-,10915000,9853000,10541000
Investments in property plant and equipment,-,-5741000,-4044000,-4540000
Purchases of investments,-,-712000,-4000,-4000
Sales/Maturities of investments,-,173000,0,27000
Other investing activites,-,-1224000,-1878000,-1537000
Net cash used for investing activites,-,-7370000,-5892000,-5995000
Net change in cash,-,1242000,2228000,2489000
Cash at beginning of period,-,26403000,24175000,21685000
Cash at end of period,-,27646000,26403000,24175000
Operating Cash Flow,-,10915000,9853000,10541000
Capital Expenditure,-,-5741000,-4044000,-4540000
Free Cash Flow,-,5174000,5809000,6001000
