Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,269927,290827,151025,151791
Depreciation & amortization,-,27968,28316,29999
Change in working capital,-,-60769,-119062,82122
Inventory,-,283294,-303965,28256
Other working capital,-,90428,96888,268580
Other non-cash items,-,1790,2227,-9546
Net cash provided by operating activites,-,162810,104978,279579
Investments in property plant and equipment,-,-72382,-8090,-10999
Purchases of investments,-,-491091,-3431,-2682
Sales/Maturities of investments,-,90690,101453,66364
Other investing activites,-,21630,53147,-4956
Net cash used for investing activites,-,-278173,143079,27705
Net change in cash,-,-234770,154226,246974
Cash at beginning of period,-,1581236,1427009,1180034
Cash at end of period,-,1346466,1581236,1427009
Operating Cash Flow,-,162810,104978,279579
Capital Expenditure,-,-72382,-8090,-10999
Free Cash Flow,-,90428,96888,268580
